P60 FFSOL PMER T2M VV850 HautSoleil HOUR rayth FLSOLAIRE_D PRECIP CAPE_INS HU950 CouvTot
1327.08635097493 1.0722 102040 290.27 0.128520876169205 37.1647944492328 8 369.635977329785 1828000 8.13151629364128e-20 9.30830001831055 64.7222671508789 A
550.632565206381 5.1946 101870 296.43 0.202581524848938 26.1338493872593 7 209.667108042988 1264000 8.13151629364128e-20 2.97657060623169 40.0239639282227 A
6.28859224127133e-17 6.8275 101190 276.16 0.911530494689941 -0.705454817436382 7 8.13151629364128e-20 8.13151629364128e-20 0.066407 4.64285707473755 74.2653121948242 B
1522.74651810585 0.46943 101760 299.86 0.480454117059708 25.9545709798141 17 133.350980676965 1521000 8.13151629364128e-20 32.2238693237305 28.0672149658203 A
6.28859224127133e-17 4.3941 101700 300.54 0.209854945540428 -14.6805069914036 20 8.13151629364128e-20 8.13151629364128e-20 8.13151629364128e-20 8.13151629364128e-20 24.283260345459 A
442.362116991643 4.0795 101850 288.89 0.795340001583099 9.4432081644761 18 0.446745489658126 595000 8.13151629364128e-20 1 40.0499992370605 A
1141.47986832109 3.44225287437439 102443.3359375 288.028656005859 0.751005113124847 32.7510769034801 8 285.802864673148 1632053.74432802 8.13151629364128e-20 18.7402572631836 46.7313385009766 A
1480.21169916435 1.6251 102800 284.73 0.108159996569157 37.570729314747 9 332.502584098452 1746000 0.000980000000000092 10 60.8499984741211 A
856.10990124082 4.80984830856323 100602.5390625 287.764221191406 0.840606272220612 32.2781103980322 13 314.770906869699 805118.863532683 8.13151629364128e-20 2.22222232818604 78.5253295898438 B
6.28859224127133e-17 3.164 102550 284.64 0.524341702461243 -11.8191597491609 20 8.13151629364128e-20 8.13151629364128e-20 8.13151629364128e-20 8.13151629364128e-20 36.9791946411133 A
6.28859224127133e-17 3.9735 102330 287.44 0.173150315880775 -2.61057567946115 19 8.13151629364128e-20 3000 0.002 257.688323974609 76.5187835693359 B
115.230691314257 6.0333 102940 277.7 -0.282075822353363 17.8367406481926 10 79.9046941023436 59900 0.4609 22.0740737915039 98.5284652709961 C
542.12560141808 1.2293 101900 295.39 -0.138637751340866 6.56581207577179 17 1.46193292197456 456000 8.13151629364128e-20 30.1214828491211 46.5703544616699 A
624.101797923525 5.2923002243042 101610 288.369995117188 0.128120005130768 47.6457020319802 9 511.395644900214 2618397.18193906 8.13151629364128e-20 69 76.7289962768555 A
501.137503165358 6.11509990692139 101270 284.570007324219 -0.195879995822906 19.2169165034565 15 91.0269886163222 1336527.82759735 0.00088714088679104 66 65.8720016479492 A
494.177260065839 7.8378 102170 282.9 0.563839972019196 12.7798521412082 9 80.5907059789819 423400 8.13151629364128e-20 8.13151629364128e-20 65.5670013427734 B
2040.89794884781 3.116 102510 297.41 0.199610590934753 36.2508437796058 11 417.16775343843 2314000 8.13151629364128e-20 46.3768119812012 39.6651268005371 A
1.54672068878197 5.3385 101920 282.74 -0.191708654165268 -6.03855471628908 17 8.13151629364128e-20 8.13151629364128e-20 8.13151629364128e-20 8.13151629364128e-20 74.9471740722656 B
518.15143074196 3.84877967834473 100950.484375 286.552185058594 -0.19522151350975 19.6292225768391 17 50.6563331006004 1139129.02858706 0.00631041034320511 240.302932739258 55.1250801086426 A
344.918713598379 4.4131 102360 283.62 -0.274535953998566 17.2118790349002 10 110.500848294449 925799.999999999 8.13151629364128e-20 2.07407426834106 83.3845672607422 A
1783.36895416561 2.21740007400513 102050 295.989990234375 0.0377559997141361 47.1158031701629 9 507.47048044976 2579124.59061115 8.13151629364128e-20 874 78.1429977416992 A
1345.64699924031 1.78096032142639 101420 298.368225097656 -0.617855727672577 33.8015397749037 14 325.14449254596 1857382.85352047 0.00331130632679912 284.389770507812 41.4356269836426 B
6.28859224127133e-17 1.0505 102340 271.44 0.051817998290062 -2.18572291653654 6 8.13151629364128e-20 1000 8.13151629364128e-20 8.13151629364128e-20 58.9150009155273 A
6.28859224127133e-17 0.63415002822876 101410 290.149993896484 -0.104309998452663 -10.5902092040778 21 8.13151629364128e-20 177.208595437289 8.13151629364128e-20 508 88.2480010986328 A
1669.68498354014 3.8501 101390 288.91 -0.0251116752624512 60.9563762929628 11 669.77315127685 1631000 0.1328 153.624359130859 84.9059143066406 A
2299.2003038744 2.2217857837677 101204.1953125 285.981567382812 -0.211354225873947 55.4547939725923 11 567.547746824255 2995110.70399508 8.13151629364128e-20 351.815734863281 46.0814666748047 A
1175.5077234743 3.90250205993652 101658.6015625 290.912567138672 0.284069567918777 26.1664394138202 17 138.370321472811 940078.606746904 0.00646182453625084 65.875862121582 64.4644317626953 C
2449.23221068625 2.5282576084137 101306.7734375 293.286804199219 0.099404901266098 57.5347261202943 10 623.582493136601 2739183.91940734 8.13151629364128e-20 41.0369911193848 59.7617111206054 A
2593.07723474297 2.62069988250732 101480 296.489990234375 -0.132469996809959 54.9148933468801 12 626.45938592904 3291326.54015025 8.13151629364128e-20 80 47.9189987182617 A
6.28859224127133e-17 1.90344166755676 101690 282.666625976562 1.01169657707214 -10.760301439583 20 8.13151629364128e-20 4369.58240024834 8.13151629364128e-20 8.13151629364128e-20 60.843864440918 A
587.753861737149 1.6746 101710 295.41 -0.428420394659042 38.1778408304187 10 445.460420194366 1501000 0.00292999999999999 283.955108642578 79.2484130859375 C
639.569004811345 0.73098 101250 292.98 0.0711629986763 47.6032249700577 14 520.049400781032 212000 0.0116999999999994 347.9501953125 90.3780517578125 C
503.457584198531 1.17840313911438 101957.5625 293.795379638672 0.142706587910652 24.7842803217002 7 193.851517333321 881768.190967031 0.000282738087219694 145.181533813477 79.6264877319336 A
148.485186123069 9.8071 100450 284.73 0.846827983856201 8.78724010925643 8 55.4440793036678 401000 8.13151629364128e-20 3.21037030220032 75.8627243041992 B
1579.97518359078 2.0845 101830 287.97 0.0925619974732399 43.2123424857376 9 467.58482300181 599400 8.13151629364128e-20 116 96.1389999389648 B
731.598885793872 2.70280003547668 101660 289.440002441406 -0.111019998788834 38.6244902790197 9 422.025567582923 1813217.84112914 0.00173126753459496 264 71.7300033569336 A
76.5626740947075 4.1334 102260 274.21 0.510007798671722 2.89576435046806 16 3.75032866621722e-05 66600 8.13151629364128e-20 25.3782119750977 66.2254409790039 A
586.980501392758 1.50069999694824 101750 277.179992675781 0.196909993886948 12.0623869851277 9 68.1077967459214 96191.4753726606 8.13151629364128e-20 8.13151629364128e-20 94.3990020751953 C
6.28859224127133e-17 5.06969976425171 102300 287.790008544922 -0.0810979977250099 -11.0439029736453 21 8.13151629364128e-20 32.9389552224549 0.324749934348354 28 96.5419998168945 C
75.0159534059255 1.26769995689392 101970 287.589996337891 0.0332290008664131 13.0900631822643 6 52.4684731442504 105000 8.13151629364128e-20 8.13151629364128e-20 54.0250015258789 A
390.546973917447 1.36502170562744 101251.6328125 280.424041748047 -0.029696311801672 23.1670033819591 7 152.944750718162 546746.818180261 0.000114642646352199 91.2303161621094 87.9526138305664 B
28.6143327424664 3.27090001106262 100350 281.609985351562 -0.0875416100025177 2.79716373300199 8 1.30555218034967 21500 0.3672 32.655445098877 84.5610656738281 B
1842.91770068372 1.0757 101750 286.77 0.107300728559494 42.8870182854173 10 396.328699211396 2245000 8.13151629364128e-20 9.4919490814209 59.3662605285645 A
467.109648012155 3.32717180252075 102527.2734375 287.529907226562 0.0794652178883553 22.8052108692648 7 171.678481574045 618345.710711541 9.8114476896607e-05 30.7329902648926 91.9587173461914 B
